bam,prop. sites covered >5x
Pool_2_Jaskiel_Lane1_S2_L003_R1_001_CTAC.trim.bt2.bam,0.631760895
Pool_21_S5_L001_R1_001_ACCA.trim.bt2.bam,0.632708108
Pool_12_S12_L002_R1_001_GACT.trim.bt2.bam,0.638595807
Pool_13_S13_L002_R1_001_TCAG.trim.bt2.bam,0.642752372
Pool_21_S5_L001_R1_001_GTGA.trim.bt2.bam,0.643564806
Pool_21_S5_L001_R1_001_GCTT.trim.bt2.bam,0.644483998
Pool_21_S5_L001_R1_001_AGAC.trim.bt2.bam,0.64542861
Pool_4_S4_L001_R1_001_GACT.trim.bt2.bam,0.645550338
Pool_11_Jaskiel_Lane2_S11_L004_R1_001_GACT.trim.bt2.bam,0.646102581
Pool_10_S10_L002_R1_001_ACCA.trim.bt2.bam,0.647753677
Pool_13_S13_L002_R1_001_AGTG.trim.bt2.bam,0.648424525
Pool_12_S12_L002_R1_001_TCAC.trim.bt2.bam,0.64863155
Pool_19_S3_L001_R1_001_TGTC.trim.bt2.bam,0.648956917
Pool_15_S15_L002_R1_001_CATC.trim.bt2.bam,0.649633237
Pool_1_S1_L001_R1_001_TGTC.trim.bt2.bam,0.650040349
Pool_17_S1_L001_R1_001_TGTC.trim.bt2.bam,0.651938324
Pool_22_S6_L001_R1_001_TGGT.trim.bt2.bam,0.652200184
Pool_18_S2_L001_R1_001_GACT.trim.bt2.bam,0.654949191
Pool_21_S5_L001_R1_001_TCAC.trim.bt2.bam,0.655146485
Pool_20_S4_L001_R1_001_GTGA.trim.bt2.bam,0.656815416
Pool_16_S16_L002_R1_001_ACCA.trim.bt2.bam,0.65688624
Pool_5_Jaskiel_Lane1_S5_L003_R1_001_CTAC.trim.bt2.bam,0.657466192
Pool_1_Jaskiel_Lane1_S1_L003_R1_001_TCAG.trim.bt2.bam,0.658151788
Pool_21_S5_L001_R1_001_TGGT.trim.bt2.bam,0.66026595
Pool_17_S1_L001_R1_001_CTAC.trim.bt2.bam,0.661484203
Pool_11_S11_L002_R1_001_GACT.trim.bt2.bam,0.661818713
Pool_1_Jaskiel_Lane1_S1_L003_R1_001_ACCA.trim.bt2.bam,0.66248062
Pool_14_S14_L002_R1_001_TCAG.trim.bt2.bam,0.662936958
Pool_6_S6_L001_R1_001_TCAG.trim.bt2.bam,0.663209794
Pool_18_S2_L001_R1_001_TCAC.trim.bt2.bam,0.663349098
Pool_18_S2_L001_R1_001_TGTC.trim.bt2.bam,0.664184804
Pool_3_Jaskiel_Lane1_S3_L003_R1_001_GCTT.trim.bt2.bam,0.664642022
Pool_18_S2_L001_R1_001_CTAC.trim.bt2.bam,0.666925928
Pool_13_Jaskiel_Lane2_S13_L004_R1_001_TCAC.trim.bt2.bam,0.667811105
Pool_5_S5_L001_R1_001_GACT.trim.bt2.bam,0.668533882
Pool_5_S5_L001_R1_001_TGTC.trim.bt2.bam,0.669558173
Pool_19_S3_L001_R1_001_TGGT.trim.bt2.bam,0.669671065
Pool_2_S2_L001_R1_001_TCAC.trim.bt2.bam,0.669950547
Pool_1_S1_L001_R1_001_GCTT.trim.bt2.bam,0.670157198
Pool_11_S11_L002_R1_001_AGAC.trim.bt2.bam,0.670736454
Pool_19_S3_L001_R1_001_ACCA.trim.bt2.bam,0.670944473
Pool_9_Jaskiel_Lane2_S9_L004_R1_001_GACT.trim.bt2.bam,0.671485801
Pool_18_S2_L001_R1_001_ACCA.trim.bt2.bam,0.672368389
Pool_7_S7_L001_R1_001_CATC.trim.bt2.bam,0.67266422
Pool_5_Jaskiel_Lane1_S5_L003_R1_001_AGAC.trim.bt2.bam,0.673818364
Pool_13_S13_L002_R1_001_GTGA.trim.bt2.bam,0.675644897
Pool_11_S11_L002_R1_001_TGGT.trim.bt2.bam,0.676928858
